id,user_id,active,page_name,last_activity_at,created_at,updated_at
476837,12,True,Simple,2025-01-30 05:07:19.560006,2025-01-30 04:55:19.560006,2025-01-30 05:08:19.560006
240956,70,False,Allow,2025-01-29 19:33:17.704169,2025-01-29 18:37:17.704169,2025-01-29 19:53:17.704169
963418,128,False,Why,2025-01-29 20:54:11.141916,2025-01-29 20:29:11.141916,2025-01-29 21:21:11.141916
639835,199,True,She,2025-01-30 05:39:19.202253,2025-01-30 05:15:19.202253,2025-01-30 05:44:19.202253
79624,162,True,Story,2025-01-30 14:56:17.105679,2025-01-30 14:02:17.105679,2025-01-30 15:07:17.105679
90224,131,False,She,2025-01-30 07:28:22.314707,2025-01-30 06:59:22.314707,2025-01-30 07:40:22.314707
525029,85,False,Other,2025-01-30 11:24:53.187881,2025-01-30 10:54:53.187881,2025-01-30 11:40:53.187881
557768,122,False,She,2025-01-30 01:51:16.224177,2025-01-30 01:02:16.224177,2025-01-30 01:54:16.224177
194554,199,False,Training,2025-01-30 18:06:51.586307,2025-01-30 17:19:51.586307,2025-01-30 18:28:51.586307
141304,9,False,Allow,2025-01-29 21:18:50.416458,2025-01-29 20:43:50.416458,2025-01-29 21:34:50.416458
77640,116,False,Mrs,2025-01-30 13:11:47.177915,2025-01-30 13:02:47.177915,2025-01-30 13:14:47.177915
700935,96,False,Police,2025-01-29 23:00:05.774789,2025-01-29 22:50:05.774789,2025-01-29 23:03:05.774789
840264,170,False,Any,2025-01-30 17:53:16.829117,2025-01-30 17:40:16.829117,2025-01-30 17:54:16.829117
81879,64,True,Simple,2025-01-30 05:13:26.358670,2025-01-30 04:39:26.358670,2025-01-30 05:22:26.358670
403473,72,False,She,2025-01-30 15:54:59.844010,2025-01-30 15:51:59.844010,2025-01-30 16:03:59.844010
470987,183,False,Color,2025-01-29 19:16:46.881111,2025-01-29 18:33:46.881111,2025-01-29 19:34:46.881111
657417,110,False,Almost,2025-01-30 18:24:42.564216,2025-01-30 17:24:42.564216,2025-01-30 18:37:42.564216
301531,163,False,Manage,2025-01-30 02:36:57.099437,2025-01-30 02:03:57.099437,2025-01-30 03:01:57.099437
326966,43,False,Color,2025-01-29 19:17:19.430219,2025-01-29 18:48:19.430219,2025-01-29 19:42:19.430219
936526,30,False,Almost,2025-01-30 07:17:18.973585,2025-01-30 06:47:18.973585,2025-01-30 07:27:18.973585
917939,171,False,Manage,2025-01-30 08:43:55.745049,2025-01-30 07:51:55.745049,2025-01-30 08:58:55.745049
547339,125,False,She,2025-01-30 09:11:41.415094,2025-01-30 08:38:41.415094,2025-01-30 09:41:41.415094
888324,181,True,She,2025-01-29 19:52:11.989073,2025-01-29 19:20:11.989073,2025-01-29 20:03:11.989073
174785,90,True,Story,2025-01-30 16:00:32.820882,2025-01-30 15:55:32.820882,2025-01-30 16:29:32.820882
499300,164,False,Color,2025-01-30 08:05:44.397343,2025-01-30 07:51:44.397343,2025-01-30 08:27:44.397343
329387,112,False,Almost,2025-01-30 13:59:05.172097,2025-01-30 13:56:05.172097,2025-01-30 14:08:05.172097
947664,12,False,Mrs,2025-01-30 10:25:01.740596,2025-01-30 10:02:01.740596,2025-01-30 10:31:01.740596
121313,89,True,Why,2025-01-30 10:12:56.191903,2025-01-30 09:18:56.191903,2025-01-30 10:16:56.191903
944208,166,True,Color,2025-01-30 06:51:42.931143,2025-01-30 06:45:42.931143,2025-01-30 07:10:42.931143
21586,106,False,Other,2025-01-30 02:52:34.533341,2025-01-30 01:58:34.533341,2025-01-30 03:14:34.533341
962437,122,False,Happen,2025-01-30 12:56:53.423159,2025-01-30 12:27:53.423159,2025-01-30 13:13:53.423159
670871,7,False,Allow,2025-01-30 14:29:37.559067,2025-01-30 14:15:37.559067,2025-01-30 14:52:37.559067
903358,107,True,Create,2025-01-30 05:59:13.387389,2025-01-30 05:45:13.387389,2025-01-30 06:12:13.387389
866552,136,True,Recognize,2025-01-30 16:14:27.467339,2025-01-30 16:00:27.467339,2025-01-30 16:26:27.467339
63081,35,False,Other,2025-01-30 06:09:13.183723,2025-01-30 05:44:13.183723,2025-01-30 06:25:13.183723
170746,45,False,Color,2025-01-30 05:22:45.496807,2025-01-30 04:57:45.496807,2025-01-30 05:52:45.496807
734898,144,False,Training,2025-01-30 03:19:22.197862,2025-01-30 02:50:22.197862,2025-01-30 03:20:22.197862
298795,151,False,Any,2025-01-30 11:55:36.669430,2025-01-30 11:22:36.669430,2025-01-30 12:09:36.669430
417100,21,False,Other,2025-01-29 22:54:32.180699,2025-01-29 22:15:32.180699,2025-01-29 22:55:32.180699
525817,76,False,Police,2025-01-29 19:30:01.933402,2025-01-29 18:33:01.933402,2025-01-29 19:54:01.933402
